symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,notional,sl_price,tp_price,atr_val,exit_type,gross_pnl,commission,slippage,net_pnl
ETHUSDT,LONG,2024-03-08 05:20:00,3426.050194771393,2024-03-08 05:45:00,3426.050194771393,0.023350504356909486,80.0,3426.050194771393,3467.1627971086496,5.181568168992595,BE_STOP,0.0,0.048,0.008,-0.056
ETHUSDT,LONG,2024-03-08 06:30:00,3423.637012310967,2024-03-08 06:45:00,3426.6316561235813,0.023366963177559447,80.0,3426.6316561235813,3464.7206564586986,5.989287625228441,SL,0.06997573169926723,0.048,0.008,0.013975731699267226
ETHUSDT,SHORT,2024-03-08 06:50:00,3416.5555073359674,2024-03-08 07:25:00,3409.353350098179,0.02341539595309528,80.0,3409.353350098179,3375.5568412479356,7.20215723778827,SL,0.168641363439268,0.048,0.008,0.112641363439268
BTCUSDT,SHORT,2024-03-08 07:30:00,64669.61738671494,2024-03-08 08:40:00,65122.30470842194,0.001237056955534646,80.0,65122.30470842194,63893.58197807436,155.9841963038709,SL,-0.5599999999999973,0.048,0.008,-0.6159999999999973
ETHUSDT,LONG,2024-03-08 07:45:00,3409.7130579260606,2024-03-08 08:45:00,3416.62435676895,0.023462384852014368,80.0,3416.62435676895,3450.6296146211735,6.911298842889181,SL,0.1621555532791482,0.048,0.008,0.10615555327914822
ETHUSDT,SHORT,2024-03-08 09:05:00,3419.3327105442368,2024-03-08 09:25:00,3443.2680395180464,0.0233963778234575,80.0,3443.2680395180464,3378.300718017706,9.724199171763726,SL,-0.5599999999999997,0.048,0.008,-0.6159999999999998
BTCUSDT,SHORT,2024-03-11 05:40:00,58768.1328809505,2024-03-11 06:00:00,59179.509811117154,0.0013612819750809498,80.0,59179.509811117154,58062.915286379095,173.6665196649492,SL,-0.5600000000000012,0.048,0.008,-0.6160000000000012
BTCUSDT,SHORT,2024-03-11 06:25:00,59347.378549657806,2024-03-11 06:50:00,59246.87122255723,0.0013479955131137174,80.0,59246.87122255723,58635.21000706191,201.01465420115352,SL,0.1354834259666277,0.048,0.008,0.07948342596662772
ETHUSDT,LONG,2024-03-11 07:00:00,3419.670155794154,2024-03-11 07:20:00,3395.7324647035953,0.023394069122266412,80.0,3395.7324647035953,3460.706197663684,8.510330058520024,SL,-0.5599999999999964,0.048,0.008,-0.6159999999999964
ETHUSDT,LONG,2024-03-11 10:05:00,3367.369962148602,2024-03-11 10:10:00,3371.941947855788,0.023757413322340968,80.0,3371.941947855788,3407.778401694385,9.14397141437159,SL,0.10861855414944917,0.048,0.008,0.052618554149449166
BTCUSDT,LONG,2024-03-11 09:10:00,59657.45192657175,2024-03-11 10:25:00,59657.45192657175,0.0013409892212370466,80.0,59657.45192657175,60373.341349690614,205.76506030072719,BE_STOP,0.0,0.048,0.008,-0.056
ETHUSDT,SHORT,2024-03-11 10:20:00,3366.0695348039885,2024-03-11 10:25:00,3366.0695348039885,0.023766591620531845,80.0,3366.0695348039885,3325.6767003863406,10.005623481630435,BE_STOP,0.0,0.048,0.008,-0.056
