date,trades,net_pnl,gross_pnl
2024-03-08,6,-1.0552273515823136,-0.7192273515823135
2024-03-11,6,-1.2118980198839209,-0.8758980198839206
2024-03-12,6,-0.5394931062331134,-0.20349310623311345
2024-03-13,4,-0.046162059610547944,0.17783794038945208
2024-03-14,6,-1.1333675894915385,-0.7973675894915383
2024-03-15,6,-1.7840353249409133,-1.4480353249409132
2024-03-18,6,-0.6146134264272741,-0.27861342642727405
2024-03-19,6,-0.6354708983270607,-0.29947089832706064
2024-03-20,5,-1.8088736540940302,-1.52887365409403
2024-03-21,3,-1.2880000000000025,-1.1200000000000023
2024-03-22,6,-0.432833134667789,-0.09683313466778894
2024-03-25,6,-0.7942825191354885,-0.45828251913548834
2024-03-26,6,-0.3463934669971109,-0.010393466997110759
2024-03-27,4,-0.5426489006101113,-0.3186489006101112
2024-03-28,6,0.0537532514252843,0.3897532514252843
2024-03-29,3,-0.7279999999999945,-0.5599999999999944
2024-04-01,6,-0.6574702760405731,-0.321470276040573
2024-04-02,6,0.1709710684934641,0.5069710684934641
2024-04-03,6,-0.46917853518458824,-0.13317853518458816
2024-04-04,3,-1.2879999999999916,-1.1199999999999914
2024-04-05,5,-0.6759728685324493,-0.3959728685324492
2024-04-08,6,-1.7769446891109126,-1.4409446891109123
2024-04-09,6,0.20350385330044604,0.539503853300446
2024-04-10,6,0.030503033757506293,0.36650303375750626
2024-04-11,3,-0.7279999999999984,-0.5599999999999983
2024-04-12,6,-1.747321274541378,-1.4113212745413777
2024-04-15,3,-0.168,0.0
2024-04-16,5,-1.116370292049092,-0.8363702920490919
2024-04-17,6,-0.6042185272000508,-0.2682185272000507
2024-04-18,5,-1.2794832601112902,-0.9994832601112901
2024-04-19,4,-1.1192737728405446,-0.8952737728405444
2024-04-22,6,-0.4099571181823012,-0.07395711818230095
2024-04-23,6,-0.9025562942058126,-0.5665562942058125
2024-04-24,6,-0.473587094577521,-0.13758709457752097
2024-04-25,6,-1.0110167221082882,-0.675016722108288
2024-04-26,6,-1.1870916256820023,-0.8510916256820021
2024-04-29,6,-0.8286224516980503,-0.4926224516980501
2024-04-30,6,-0.2977142686396314,0.03828573136036856
2024-05-01,4,-0.1336917302732156,0.09030826972678441
2024-05-02,6,0.23586451328762728,0.5718645132876273
2024-05-03,5,-1.293294583225761,-1.0132945832257607
2024-05-06,6,0.11929532376435437,0.4552953237643544
2024-05-07,6,-0.6379514696576983,-0.30195146965769826
2024-05-08,6,-0.2518765279947147,0.08412347200528547
2024-05-09,5,-1.8180389125664331,-1.5380389125664329
